,vix,gbpusd
2016-01-01,,
2016-01-04,20.7,1.4686
2016-01-05,19.34,1.4664
2016-01-06,20.59,1.4626
2016-01-07,24.99,1.4579
2016-01-08,27.01,1.4523
2016-01-11,24.3,1.4564
2016-01-12,22.47,1.4403
2016-01-13,25.22,1.447
2016-01-14,23.95,1.4409
2016-01-15,27.02,1.4289
2016-01-18,,
2016-01-19,26.05,1.4171
2016-01-20,27.59,1.4167
2016-01-21,26.69,1.4198
2016-01-22,22.34,1.4308
2016-01-25,24.15,1.4245
2016-01-26,22.5,1.4342
2016-01-27,23.11,1.4261
2016-01-28,22.42,1.4351
2016-01-29,20.2,1.4184
2016-02-01,19.98,1.4367
2016-02-02,21.98,1.4399
2016-02-03,21.65,1.4576
2016-02-04,21.84,1.458
2016-02-05,23.38,1.4468
2016-02-08,26.0,1.4415
2016-02-09,26.54,1.4473
2016-02-10,26.29,1.4473
2016-02-11,28.14,1.4448
2016-02-12,25.4,1.446
2016-02-15,,
2016-02-16,24.11,1.429
2016-02-17,22.31,1.4317
2016-02-18,21.64,1.4333
2016-02-19,20.53,1.4343
2016-02-22,19.38,1.4157
2016-02-23,20.98,1.404
2016-02-24,20.72,1.3932
2016-02-25,19.11,1.3937
2016-02-26,19.81,1.3867
2016-02-29,20.55,1.3926
2016-03-01,17.7,1.3948
2016-03-02,17.09,1.4059
2016-03-03,16.7,1.4152
2016-03-04,16.86,1.4226
2016-03-07,17.35,1.4256
2016-03-08,18.67,1.4225
2016-03-09,18.34,1.4236
2016-03-10,18.05,1.4306
2016-03-11,16.5,1.4426
2016-03-14,16.92,1.4324
2016-03-15,16.84,1.4166
2016-03-16,14.99,1.41
2016-03-17,14.44,1.449
2016-03-18,14.02,1.4514
2016-03-21,13.79,1.4402
2016-03-22,14.17,1.4217
2016-03-23,14.94,1.4111
2016-03-24,14.74,1.4143
2016-03-25,,1.4131
2016-03-28,15.24,1.425
2016-03-29,13.82,1.4281
2016-03-30,13.56,1.439
2016-03-31,13.95,1.4381
2016-04-01,13.1,1.4204
2016-04-04,14.12,1.4279
2016-04-05,15.42,1.4149
2016-04-06,14.09,1.4162
2016-04-07,16.16,1.4082
2016-04-08,15.36,1.4105
2016-04-11,16.26,1.424
2016-04-12,14.85,1.4244
2016-04-13,13.84,1.4223
2016-04-14,13.72,1.4148
2016-04-15,13.62,1.4217
2016-04-18,13.35,1.4276
2016-04-19,13.24,1.4396
2016-04-20,13.28,1.4375
2016-04-21,13.95,1.4338
2016-04-22,13.22,1.439
2016-04-25,14.08,1.4492
2016-04-26,13.96,1.4611
2016-04-27,13.77,1.4554
2016-04-28,15.22,1.4581
2016-04-29,15.7,1.4625
2016-05-02,14.68,1.4666
2016-05-03,15.6,1.4543
2016-05-04,16.05,1.4475
2016-05-05,15.91,1.4486
2016-05-06,14.72,1.4439
2016-05-09,14.57,1.4409
2016-05-10,13.63,1.4454
2016-05-11,14.69,1.448
2016-05-12,14.41,1.4452
2016-05-13,15.04,1.4369
2016-05-16,14.68,1.4411
2016-05-17,15.57,1.4485
2016-05-18,15.95,1.4615
2016-05-19,16.33,1.4608
2016-05-20,15.2,1.4513
2016-05-23,15.82,1.4444
2016-05-24,14.42,1.4623
2016-05-25,13.9,1.4694
2016-05-26,13.43,1.4673
2016-05-27,13.12,1.4644
2016-05-30,,
2016-05-31,14.19,1.453
2016-06-01,14.2,1.4395
2016-06-02,13.63,1.4419
2016-06-03,13.47,1.4521
2016-06-06,13.65,1.445
2016-06-07,14.05,1.4564
2016-06-08,14.08,1.4546
2016-06-09,14.64,1.4467
2016-06-10,17.03,1.4342
2016-06-13,20.97,1.4223
2016-06-14,20.5,1.413
2016-06-15,20.14,1.4185
2016-06-16,19.37,1.4075
2016-06-17,19.41,1.4285
2016-06-20,18.37,1.4688
2016-06-21,18.48,1.4668
2016-06-22,21.17,1.4682
2016-06-23,17.25,1.48
2016-06-24,25.76,1.3639
2016-06-27,23.85,1.3217
2016-06-28,18.75,1.3294
2016-06-29,16.64,1.351
2016-06-30,15.63,1.3242
2016-07-01,14.77,1.3281
2016-07-04,,
2016-07-05,15.58,1.3021
2016-07-06,14.96,1.2921
2016-07-07,14.76,1.2926
2016-07-08,13.2,1.2938
2016-07-11,13.54,1.2986
2016-07-12,13.55,1.3237
2016-07-13,13.04,1.318
2016-07-14,12.82,1.3332
2016-07-15,12.67,1.3194
2016-07-18,12.44,1.3279
2016-07-19,11.97,1.3123
2016-07-20,11.77,1.3179
2016-07-21,12.74,1.3216
2016-07-22,12.02,1.3091
2016-07-25,12.87,1.313
2016-07-26,13.05,1.3133
2016-07-27,12.83,1.3094
2016-07-28,12.72,1.3151
2016-07-29,11.87,1.327
2016-08-01,12.44,1.3209
2016-08-02,13.37,1.3326
2016-08-03,12.86,1.3335
2016-08-04,12.42,1.3143
2016-08-05,11.39,1.3069
2016-08-08,11.5,1.3042
2016-08-09,11.66,1.301
2016-08-10,12.05,1.2998
2016-08-11,11.68,1.296
2016-08-12,11.55,1.2934
2016-08-15,11.81,1.2874
2016-08-16,12.64,1.3019
2016-08-17,12.19,1.3012
2016-08-18,11.43,1.3147
2016-08-19,11.34,1.3061
2016-08-22,12.27,1.3133
2016-08-23,12.38,1.3179
2016-08-24,13.45,1.3236
2016-08-25,13.63,1.3177
2016-08-26,13.65,1.3168
2016-08-29,12.94,1.3089
2016-08-30,13.12,1.3084
2016-08-31,13.42,1.3129
2016-09-01,13.48,1.3273
2016-09-02,11.98,1.3299
2016-09-05,,
2016-09-06,12.02,1.3429
2016-09-07,11.94,1.3339
2016-09-08,12.51,1.3301
2016-09-09,17.5,1.3257
2016-09-12,15.16,1.3313
2016-09-13,17.85,1.3184
2016-09-14,18.14,1.3204
2016-09-15,16.3,1.3215
2016-09-16,15.37,1.309
2016-09-19,15.53,1.3051
2016-09-20,15.92,1.2974
2016-09-21,13.3,1.2978
2016-09-22,12.02,1.3092
2016-09-23,12.29,1.2959
2016-09-26,14.5,1.2978
2016-09-27,13.1,1.3005
2016-09-28,12.39,1.2996
2016-09-29,14.02,1.2991
2016-09-30,13.29,1.3015
2016-10-03,13.57,1.284
2016-10-04,13.63,1.2746
2016-10-05,12.99,1.2745
2016-10-06,12.84,1.2647
2016-10-07,13.48,1.2434
2016-10-10,13.38,
2016-10-11,15.36,1.2218
2016-10-12,15.91,1.2195
2016-10-13,16.69,1.2201
2016-10-14,16.12,1.2189
2016-10-17,16.21,1.2186
2016-10-18,15.28,1.231
2016-10-19,14.41,1.2279
2016-10-20,13.75,1.2256
2016-10-21,13.34,1.221
2016-10-24,13.02,1.2204
2016-10-25,13.46,1.2164
2016-10-26,14.24,1.2234
2016-10-27,15.36,1.2173
2016-10-28,16.19,1.2155
2016-10-31,17.06,1.2212
2016-11-01,18.56,1.2218
2016-11-02,19.32,1.2315
2016-11-03,22.08,1.2454
2016-11-04,22.51,1.2546
2016-11-07,18.71,1.2403
2016-11-08,18.74,1.2372
2016-11-09,14.38,1.2474
2016-11-10,14.74,1.2523
2016-11-11,14.17,
2016-11-14,14.48,1.2469
2016-11-15,13.37,1.2422
2016-11-16,13.72,1.245
2016-11-17,13.35,1.245
2016-11-18,12.85,1.2327
2016-11-21,12.42,1.2474
2016-11-22,12.41,1.2424
2016-11-23,12.43,1.2458
2016-11-24,,
2016-11-25,12.34,1.2462
2016-11-28,13.15,1.2411
2016-11-29,12.9,1.2505
2016-11-30,13.33,1.2481
2016-12-01,14.07,1.2596
2016-12-02,14.12,1.2685
2016-12-05,12.14,1.2708
2016-12-06,11.79,1.2706
2016-12-07,12.22,1.2604
2016-12-08,12.64,1.2574
2016-12-09,11.75,1.259
2016-12-12,12.64,1.2677
2016-12-13,12.72,1.2685
2016-12-14,13.19,1.2706
2016-12-15,12.79,1.2389
2016-12-16,12.2,1.2478
2016-12-19,11.71,1.2419
2016-12-20,11.45,1.2358
2016-12-21,11.27,1.2348
2016-12-22,11.43,1.2301
2016-12-23,11.44,1.2252
2016-12-26,,
2016-12-27,11.99,1.2261
2016-12-28,12.95,1.2222
2016-12-29,13.37,1.2237
2016-12-30,14.04,1.2337
2017-01-02,,
2017-01-03,12.85,1.2256
2017-01-04,11.85,1.2299
2017-01-05,11.67,1.2415
2017-01-06,11.32,1.2314
2017-01-09,11.56,1.2167
2017-01-10,11.49,1.2165
2017-01-11,11.26,1.2118
2017-01-12,11.54,1.2211
2017-01-13,11.23,1.2198
2017-01-16,,
2017-01-17,11.87,1.2388
2017-01-18,12.48,1.2309
2017-01-19,12.78,1.2319
2017-01-20,11.54,
2017-01-23,11.77,1.2485
2017-01-24,11.07,1.2531
2017-01-25,10.81,1.262
2017-01-26,10.63,1.2579
2017-01-27,10.58,1.2531
2017-01-30,11.88,1.2478
2017-01-31,11.99,1.2585
2017-02-01,11.81,1.2643
2017-02-02,11.93,1.2541
2017-02-03,10.97,1.2504
2017-02-06,11.37,1.245
2017-02-07,11.29,1.2486
2017-02-08,11.45,1.2543
2017-02-09,10.88,1.2516
2017-02-10,10.85,1.2502
2017-02-13,11.07,1.251
2017-02-14,10.74,1.2465
2017-02-15,11.97,1.2465
2017-02-16,11.76,1.2477
2017-02-17,11.49,1.2428
2017-02-20,,
2017-02-21,11.57,1.2465
2017-02-22,11.74,1.2456
2017-02-23,11.71,1.2548
2017-02-24,11.47,1.2499
2017-02-27,12.09,1.2473
2017-02-28,12.92,1.2427
2017-03-01,12.54,1.2318
2017-03-02,11.81,1.2267
2017-03-03,10.96,1.2249
2017-03-06,11.24,1.2243
2017-03-07,11.45,1.2209
2017-03-08,11.86,1.2152
2017-03-09,12.3,1.2166
2017-03-10,11.66,1.2158
2017-03-13,11.35,1.2234
2017-03-14,12.3,1.2168
2017-03-15,11.63,1.2222
2017-03-16,11.21,1.237
2017-03-17,11.28,1.2372
2017-03-20,11.34,1.2365
2017-03-21,12.47,1.2479
2017-03-22,12.81,1.2476
2017-03-23,13.12,1.2526
2017-03-24,12.96,1.2491
2017-03-27,12.5,1.2583
2017-03-28,11.53,1.2503
2017-03-29,11.42,1.2411
2017-03-30,11.54,1.2489
2017-03-31,12.37,1.2537
2017-04-03,12.38,1.2479
2017-04-04,11.79,1.2437
2017-04-05,12.89,1.2488
2017-04-06,12.39,1.2486
2017-04-07,12.87,1.2398
2017-04-10,14.05,1.2418
2017-04-11,15.07,1.2484
2017-04-12,15.77,1.25
2017-04-13,15.96,1.2522
2017-04-14,,1.2531
2017-04-17,14.66,1.2587
2017-04-18,14.42,1.2769
2017-04-19,14.93,1.2789
2017-04-20,14.15,1.283
2017-04-21,14.63,1.2783
2017-04-24,10.84,1.2783
2017-04-25,10.76,1.2836
2017-04-26,10.85,1.2838
2017-04-27,10.36,1.2889
2017-04-28,10.82,1.2938
2017-05-01,10.11,1.2917
2017-05-02,10.59,1.2921
2017-05-03,10.68,1.2916
2017-05-04,10.46,1.291
2017-05-05,10.57,1.295
2017-05-08,9.77,1.2942
2017-05-09,9.96,1.2939
2017-05-10,10.21,1.2939
2017-05-11,10.6,1.2885
2017-05-12,10.4,1.288
2017-05-15,10.42,1.2917
2017-05-16,10.65,1.2912
2017-05-17,15.59,1.2944
2017-05-18,14.66,1.3009
2017-05-19,12.04,1.3018
2017-05-22,10.93,1.3006
2017-05-23,10.72,1.2984
2017-05-24,10.02,1.2935
2017-05-25,9.99,1.2954
2017-05-26,9.81,1.2795
2017-05-29,,
2017-05-30,10.38,1.2858
2017-05-31,10.41,1.2905
2017-06-01,9.89,1.2894
2017-06-02,9.75,1.2885
2017-06-05,10.07,1.2917
2017-06-06,10.45,1.2901
2017-06-07,10.39,1.2941
2017-06-08,10.16,1.2939
2017-06-09,10.7,1.2737
2017-06-12,11.46,1.2658
2017-06-13,10.42,1.2739
2017-06-14,10.64,1.2808
2017-06-15,10.9,1.2768
2017-06-16,10.38,1.2778
2017-06-19,10.37,1.2743
2017-06-20,10.86,1.2628
2017-06-21,10.75,1.2667
2017-06-22,10.48,1.2659
2017-06-23,10.02,1.2727
2017-06-26,9.9,1.2732
2017-06-27,11.06,1.2791
2017-06-28,10.03,1.2936
2017-06-29,11.44,1.2984
2017-06-30,11.18,1.2995
2017-07-03,11.22,1.2951
2017-07-04,,
2017-07-05,11.07,1.2934
2017-07-06,12.54,1.2967
2017-07-07,11.19,1.288
2017-07-10,11.11,1.2884
2017-07-11,10.89,1.2851
2017-07-12,10.3,1.2889
