,us_tips_5yr,us_tips_10yr,us_breakeven_10yr,us_5y5y_forward
2016-01-01,,,,
2016-01-04,0.42,0.69,1.55,1.79
2016-01-05,0.42,0.69,1.56,1.81
2016-01-06,0.39,0.65,1.53,1.8
2016-01-07,0.36,0.66,1.5,1.75
2016-01-08,0.34,0.65,1.48,1.73
2016-01-11,0.39,0.72,1.45,1.71
2016-01-12,0.36,0.69,1.43,1.67
2016-01-13,0.33,0.65,1.43,1.68
2016-01-14,0.32,0.67,1.43,1.66
2016-01-15,0.34,0.67,1.36,1.6
2016-01-18,,,,
2016-01-19,0.33,0.68,1.38,1.6
2016-01-20,0.34,0.69,1.32,1.54
2016-01-21,0.36,0.74,1.28,1.48
2016-01-22,0.34,0.72,1.35,1.55
2016-01-25,0.32,0.69,1.34,1.53
2016-01-26,0.28,0.65,1.36,1.55
2016-01-27,0.25,0.62,1.4,1.62
2016-01-28,0.2,0.58,1.42,1.64
2016-01-29,0.14,0.53,1.41,1.63
2016-02-01,0.18,0.57,1.4,1.6
2016-02-02,0.14,0.51,1.36,1.58
2016-02-03,0.11,0.5,1.38,1.6
2016-02-04,0.12,0.51,1.36,1.59
2016-02-05,0.18,0.53,1.33,1.59
2016-02-08,0.19,0.52,1.23,1.49
2016-02-09,0.22,0.53,1.21,1.49
2016-02-10,0.2,0.5,1.21,1.47
2016-02-11,0.17,0.45,1.18,1.42
2016-02-12,0.17,0.49,1.25,1.47
2016-02-15,,,,
2016-02-16,0.2,0.53,1.25,1.47
2016-02-17,0.22,0.53,1.28,1.52
2016-02-18,0.19,0.51,1.24,1.46
2016-02-19,0.18,0.5,1.26,1.46
2016-02-22,0.14,0.46,1.31,1.51
2016-02-23,0.1,0.42,1.32,1.51
2016-02-24,0.06,0.39,1.36,1.57
2016-02-25,-0.02,0.32,1.39,1.6
2016-02-26,0.03,0.35,1.41,1.62
2016-02-29,-0.01,0.32,1.42,1.61
2016-03-01,0.02,0.35,1.48,1.67
2016-03-02,0.0,0.33,1.51,1.68
2016-03-03,-0.03,0.3,1.53,1.7
2016-03-04,0.02,0.37,1.51,1.66
2016-03-07,0.06,0.43,1.48,1.6
2016-03-08,0.01,0.37,1.46,1.59
2016-03-09,0.02,0.39,1.51,1.65
2016-03-10,0.1,0.45,1.48,1.61
2016-03-11,0.08,0.44,1.54,1.67
2016-03-14,0.11,0.45,1.52,1.66
2016-03-15,0.15,0.47,1.5,1.65
2016-03-16,-0.04,0.36,1.58,1.71
2016-03-17,-0.07,0.34,1.57,1.68
2016-03-18,-0.13,0.27,1.61,1.75
2016-03-21,-0.12,0.28,1.64,1.78
2016-03-22,-0.06,0.31,1.63,1.78
2016-03-23,-0.07,0.3,1.58,1.72
2016-03-24,-0.03,0.34,1.57,1.72
2016-03-25,,,,
2016-03-28,-0.03,0.33,1.56,1.72
2016-03-29,-0.18,0.2,1.61,1.75
2016-03-30,-0.26,0.18,1.65,1.78
2016-03-31,-0.28,0.16,1.62,1.75
2016-04-01,-0.25,0.17,1.62,1.75
2016-04-04,-0.26,0.14,1.64,1.8
2016-04-05,-0.26,0.14,1.59,1.75
2016-04-06,-0.23,0.17,1.59,1.75
2016-04-07,-0.27,0.12,1.58,1.75
2016-04-08,-0.27,0.14,1.58,1.73
2016-04-11,-0.25,0.17,1.56,1.71
2016-04-12,-0.17,0.22,1.57,1.75
2016-04-13,-0.21,0.21,1.56,1.69
2016-04-14,-0.16,0.24,1.56,1.7
2016-04-15,-0.2,0.2,1.56,1.7
2016-04-18,-0.17,0.21,1.57,1.73
2016-04-19,-0.2,0.19,1.6,1.74
2016-04-20,-0.17,0.23,1.62,1.75
2016-04-21,-0.21,0.24,1.64,1.72
2016-04-22,-0.19,0.25,1.64,1.72
2016-04-25,-0.18,0.26,1.65,1.74
2016-04-26,-0.16,0.27,1.67,1.78
2016-04-27,-0.24,0.19,1.68,1.79
2016-04-28,-0.33,0.12,1.72,1.83
2016-04-29,-0.32,0.12,1.71,1.82
2016-05-02,-0.26,0.2,1.68,1.78
2016-05-03,-0.29,0.17,1.64,1.74
2016-05-04,-0.29,0.16,1.63,1.74
2016-05-05,-0.32,0.13,1.63,1.74
2016-05-06,-0.28,0.18,1.61,1.71
2016-05-09,-0.3,0.18,1.59,1.68
2016-05-10,-0.33,0.15,1.62,1.71
2016-05-11,-0.33,0.14,1.59,1.65
2016-05-12,-0.29,0.15,1.6,1.67
2016-05-13,-0.3,0.13,1.58,1.64
2016-05-16,-0.27,0.15,1.6,1.67
2016-05-17,-0.27,0.15,1.61,1.66
2016-05-18,-0.13,0.26,1.61,1.68
2016-05-19,-0.13,0.29,1.56,1.61
2016-05-20,-0.13,0.29,1.56,1.61
2016-05-23,-0.11,0.3,1.54,1.59
2016-05-24,-0.1,0.31,1.55,1.59
2016-05-25,-0.11,0.29,1.58,1.65
2016-05-26,-0.16,0.25,1.58,1.65
2016-05-27,-0.12,0.27,1.58,1.65
2016-05-30,,,,
2016-05-31,-0.1,0.3,1.54,1.61
2016-06-01,-0.08,0.31,1.54,1.61
2016-06-02,-0.12,0.27,1.54,1.6
2016-06-03,-0.22,0.19,1.52,1.59
2016-06-06,-0.24,0.19,1.54,1.59
2016-06-07,-0.28,0.15,1.57,1.63
2016-06-08,-0.31,0.12,1.59,1.64
2016-06-09,-0.31,0.12,1.56,1.59
2016-06-10,-0.32,0.12,1.52,1.55
2016-06-13,-0.31,0.15,1.47,1.49
2016-06-14,-0.3,0.17,1.45,1.45
2016-06-15,-0.37,0.13,1.47,1.47
2016-06-16,-0.32,0.15,1.42,1.42
2016-06-17,-0.3,0.2,1.42,1.41
2016-06-20,-0.26,0.24,1.43,1.43
2016-06-21,-0.19,0.28,1.43,1.45
2016-06-22,-0.21,0.25,1.44,1.47
2016-06-23,-0.22,0.24,1.5,1.53
2016-06-24,-0.28,0.15,1.42,1.48
2016-06-27,-0.27,0.12,1.34,1.41
2016-06-28,-0.32,0.09,1.37,1.42
2016-06-29,-0.33,0.1,1.4,1.44
2016-06-30,-0.37,0.09,1.4,1.42
2016-07-01,-0.43,0.03,1.43,1.43
2016-07-04,,,,
2016-07-05,-0.45,-0.03,1.4,1.41
2016-07-06,-0.46,-0.05,1.43,1.45
2016-07-07,-0.44,-0.03,1.43,1.45
2016-07-08,-0.44,-0.06,1.43,1.47
2016-07-11,-0.38,0.01,1.42,1.43
2016-07-12,-0.36,0.07,1.46,1.46
2016-07-13,-0.36,0.03,1.45,1.47
2016-07-14,-0.34,0.08,1.45,1.46
2016-07-15,-0.29,0.11,1.49,1.54
2016-07-18,-0.27,0.1,1.49,1.57
2016-07-19,-0.27,0.12,1.44,1.49
2016-07-20,-0.25,0.13,1.46,1.52
2016-07-21,-0.27,0.05,1.52,1.66
2016-07-22,-0.23,0.06,1.51,1.66
2016-07-25,-0.19,0.08,1.5,1.66
2016-07-26,-0.18,0.07,1.5,1.67
2016-07-27,-0.21,0.03,1.49,1.67
2016-07-28,-0.24,0.0,1.52,1.71
2016-07-29,-0.28,-0.03,1.49,1.67
2016-08-01,-0.21,0.05,1.46,1.65
2016-08-02,-0.18,0.11,1.44,1.63
2016-08-03,-0.21,0.09,1.46,1.64
2016-08-04,-0.27,0.04,1.47,1.64
2016-08-05,-0.2,0.09,1.5,1.67
2016-08-08,-0.19,0.08,1.51,1.68
2016-08-09,-0.19,0.06,1.49,1.68
2016-08-10,-0.2,0.06,1.44,1.61
